time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-31T09:33:52.010Z,33.3723333,-116.879,4.6,2.95,ml,59,52,0.02315,0.2,ci,ci39899591,2022-03-05T23:10:59.040Z,"2km NW of Palomar Observatory, CA",earthquake,0.18,0.51,0.149,157,reviewed,ci,ci
2021-12-23T12:44:24.480Z,33.3711667,-116.8856667,4.6,3.12,ml,126,14,0.02603,0.23,ci,ci39894823,2022-03-01T16:39:51.040Z,"3km NW of Palomar Observatory, CA",earthquake,0.12,0.38,0.132,168,reviewed,ci,ci
2021-12-23T02:47:57.770Z,33.2751667,-116.2595,4.67,2.53,ml,109,16,0.08238,0.21,ci,ci39894247,2022-03-01T16:39:38.040Z,"11km ENE of Borrego Springs, CA",earthquake,0.12,0.54,0.133,113,reviewed,ci,ci
2021-12-21T22:38:38.010Z,33.3746667,-116.8803333,4.82,2.69,ml,93,18,0.02569,0.21,ci,ci39892903,2022-03-01T16:39:05.040Z,"3km NW of Palomar Observatory, CA",earthquake,0.14,0.46,0.136,26,reviewed,ci,ci
2021-12-17T13:08:38.740Z,33.2751667,-116.2573333,5.35,2.53,ml,95,21,0.0823,0.19,ci,ci40129448,2022-03-01T16:37:07.040Z,"11km E of Borrego Springs, CA",earthquake,0.13,0.48,0.15,25,reviewed,ci,ci
2021-10-19T19:11:10.090Z,33.6611667,-116.7676667,13.84,2.78,ml,119,13,0.06691,0.19,ci,ci39837511,2022-09-30T12:03:19.631Z,"10km SSW of Idyllwild, CA",earthquake,0.1,0.2,0.213,21,reviewed,ci,ci
2021-09-21T22:57:32.310Z,33.6346667,-116.7108333,13.42,3.26,ml,137,13,0.04605,0.17,ci,ci39815335,2021-12-03T15:01:43.040Z,"10km NNW of Anza, CA",earthquake,0.09,0.17,0.133,200,reviewed,ci,ci
2021-09-21T22:41:30.350Z,33.6348333,-116.7148333,13.22,3.42,mw,146,13,0.04823,0.19,ci,ci39815127,2022-01-18T08:23:12.493Z,"10km NNW of Anza, CA",earthquake,0.1,0.2,,4,reviewed,ci,ci
2021-09-07T09:41:29.540Z,33.25,-116.7865,5.73,2.7,ml,109,13,0.02713,0.2,ci,ci40035168,2021-11-17T17:26:52.040Z,"2km WNW of Lake Henshaw, CA",earthquake,0.13,0.5,0.156,25,reviewed,ci,ci
2021-09-06T13:45:53.660Z,33.3306667,-116.3768333,9.86,2.72,ml,108,16,0.009014,0.18,ci,ci40034504,2021-11-17T17:25:19.040Z,"8km N of Borrego Springs, CA",earthquake,0.11,0.28,0.197,25,reviewed,ci,ci
2021-09-06T13:14:20.260Z,33.4555,-116.5693333,11.54,2.67,ml,122,19,0.04866,0.19,ci,ci40034480,2021-11-17T17:25:16.040Z,"15km SE of Anza, CA",earthquake,0.11,0.29,0.18,25,reviewed,ci,ci
2021-08-05T06:51:30.990Z,33.7553333,-116.9853333,17.42,3.12,ml,161,15,0.04899,0.21,ci,ci39764447,2022-01-20T04:53:19.903Z,"2km NW of Hemet, CA",earthquake,0.11,0.26,0.141,220,reviewed,ci,ci
2021-07-06T23:30:20.700Z,33.796,-116.9253333,9.23,2.52,ml,103,20,0.03741,0.22,ci,ci39731119,2021-09-10T20:07:06.040Z,"3km ENE of San Jacinto, CA",earthquake,0.13,0.38,0.155,180,reviewed,ci,ci
2021-06-14T12:28:12.030Z,33.3551667,-116.3121667,12,3.06,ml,132,15,0.007498,0.22,ci,ci39705335,2021-08-26T21:59:18.040Z,"12km NNE of Borrego Springs, CA",earthquake,0.11,0.41,0.115,210,reviewed,ci,ci
2021-06-14T10:37:48.530Z,33.7955,-116.9278333,10.03,2.57,ml,150,18,0.03561,0.22,ci,ci39705263,2021-08-26T21:59:18.040Z,"3km ENE of San Jacinto, CA",earthquake,0.11,0.27,0.161,207,reviewed,ci,ci
2021-06-01T21:29:55.500Z,33.467,-116.8883333,13.64,2.74,ml,67,21,0.08633,0.25,ci,ci37325924,2021-08-07T22:07:02.040Z,"4km NW of Aguanga, CA",earthquake,0.2,0.59,0.118,30,reviewed,ci,ci
2021-06-01T21:29:46.490Z,33.4596667,-116.8916667,12.83,3.16,ml,151,18,0.09267,0.22,ci,ci39913520,2021-08-07T22:07:02.040Z,"3km NW of Aguanga, CA",earthquake,0.1,0.33,0.156,181,reviewed,ci,ci
2020-12-25T15:22:04.470Z,33.6501667,-116.7301667,15.32,2.59,ml,125,16,0.05059,0.17,ci,ci39503791,2021-03-06T23:18:47.040Z,"10km S of Idyllwild, CA",earthquake,0.09,0.21,0.192,25,reviewed,ci,ci
2020-12-06T15:17:53.130Z,33.237,-116.6693333,9.2,3.62,mw,138,12,0.04204,0.21,ci,ci39486671,2022-11-27T19:52:02.091Z,"6km SSW of Warner Springs, CA",earthquake,0.11,0.32,,4,reviewed,ci,ci
2020-12-05T05:41:29.460Z,33.4211667,-116.9311667,8.08,3.55,mw,152,17,0.08846,0.23,ci,ci39485527,2022-06-16T17:49:36.737Z,"7km WSW of Aguanga, CA",earthquake,0.1,0.5,,4,reviewed,ci,ci
2020-12-04T11:54:22.740Z,33.4791667,-116.8011667,3.9,2.85,ml,136,12,0.03312,0.23,ci,ci39484863,2021-02-12T22:38:53.040Z,"7km NE of Aguanga, CA",earthquake,0.11,0.39,0.172,25,reviewed,ci,ci
